0,1,2
2022-01-16,HarrisRegar,"Saat ini lebih parah dari Orba. Kampus telah dikekang dan didikte kekuasaan. Gitupun @nadiemmakarim bangga dgn istilah Kampus Merdeka, Merdeka Belajar. Opoooo kui. 😆😆😆 https://t.co/iNamcJVM6E"
2022-01-15,nashirefendi,"@Kemdikbud_RI merdeka belajar, merdeka bermain, merdeka melintasi air https://t.co/552ozkktLF"
2022-01-15,Matamediaindon1,"PESAN REKTOR UMK, SAAT PELEPASAN MAHASISWA INBOUND MERDEKA BELAJAR  ANGKATAN 1 TAHUN  2021👇👇👇

https://t.co/4u0E0GpHUb"
2022-01-15,MabacaKomunitas,"@mkusumawijaya @jokowi Kampus merdeka, belajar tak merdeka?"
2022-01-15,PDI_Perjuangan,"saat launching kegiatan Imunisasi Siswa Merdeka Belajar Tingkat Kabupaten Luwu Utara yang dipusatkan di UPT SD Negeri 099, Masamba, Kamis (13/1/2022).

#PDIPerjuangan
#solidbergerak
#49tahunpdiperjuangan
#bangunlahjiwadanbadannya"
2022-01-15,PDI_Perjuangan,"Pelaksanaan Imunisasi Siswa Merdeka Belajar diharap mampu mengakselerasi capaian vaksinasi, terkhusus pada tingkat sekolah dasar, sehingga pembelajaran tatap muka 100 persen dapat kembali dilakukan."
2022-01-15,PDI_Perjuangan,"Di Kabupaten Luwu Utara, pelaksanaan Imunisasi Siswa Merdeka Belajar sudah mulai dilakukan dengan menyasar siswa SD usia 6-11 tahun di seluruh sekolah."
2022-01-15,Kemdikbud_RI,"Yuk, #SahabatDikbud, isi libur akhir pekan dengan membuat sendiri layang-layangmu! Siapkan alat, bahan, dan perhatikan langkah-langkah membuatnya, ya! 

Jangan lupa ajak anggota keluargamu untuk membuat dan bermain layang-layang bersama!

#MerdekaBelajar #SabtuSeru https://t.co/wAJ1gWpbcM"
2022-01-15,EM_UBOfficial,"[Magang Merdeka: Seperti Dendam Uang Saku Harus Dibayar dengan Tuntas]

Program Merdeka Belajar Kampus Merdeka (MBKM) yg diglorifikasi secara berlebihan menyimpan berbagai kepahitan yang menyakitkan. Kepahitan itu menimpa mahasiswa magang yang mengikuti program MSIB. https://t.co/N8QhZ1v8Bd"
2022-01-15,liputan6dotcom,"Ajak Anak Buah Terapkan Merdeka Belajar, Menhub: Harus Out of the Box https://t.co/AIT86XbEln"
2022-01-15,itbofficial,"Temu Awal Semester II 2021/2022: Perencanaan Integrasi Sistem di ITB dalam Kacamata Multikampus

Baca berita selengkapnya di laman  https://t.co/mlbxbayDeH 

#ITBnews #institutteknologibandung #worldclassuniversity #innovation #research #kampusmerdeka #merdekabelajar"
2022-01-15,istikemala,"ini kurikulum 2013 bahkan mau otw kurikulum 2022 , udah gk kepake RPUL upgrade ilmu dong , ini merdeka belajar coy !!! ya allah emosi kok males mau upgrade ilmu !!!!"
2022-01-15,hmptk_unnes,sharing-sharing mengenai program dari Merdeka Belajar Kampus Merdeka (MBKM) yaitu Studi Independen dan Magang Perusahaan dengan tujuan agar para mahasiswa Teknik Kimia mengenal beberapa program MBKM dan tertarik untuk mengikuti program MBKM. Dengan menghadirkan pemateri yang
2022-01-15,kbharianaceh,UPI Raih Prestasi Program Merdeka Belajar Kampus Merdeka https://t.co/VmgYn3Osz2
2022-01-15,agung_sugenta,Program Merdeka Belajar Kampus Merdeka MBKM Menentukan Masa Depan https://t.co/aeAHwVz3gt
2022-01-15,LLDIKTI11,"Terimakasih untuk seluruh stakeholder, civitas akademika perguruan tinggi dan sobat #PTSKalimantanBerprestasi yang telah mensupport kami #lldikti_11 untuk terus memberikan pelayanan dan pelayanan informasi yang terbaik

#ahd2021 
#merdekabelajar 
#KampusMerdeka https://t.co/7quCNe0XYv"
2022-01-15,srihadi12970,Merdeka Belajar😭 https://t.co/OjVmT8Oxx7
2022-01-15,Gorajuara,"Kadisdik Sumedang Hadirkan Implementasi &amp;lsquo;Merdeka Belajar&amp;rsquo; Melalui Pendekatan KBM HI https://t.co/n1es39UddI 
#kadisdiksumedang #implementasi"
2022-01-15,angusberesford,UPI Raih Prestasi Program Merdeka Belajar Kampus Merdekaon 15/01/2022 at 1:27 am https://t.co/ODgPmBwBnr
2022-01-15,carilahmas,UPI Raih Prestasi Program Merdeka Belajar Kampus Merdekaon 15/01/2022 at 1:27 am https://t.co/heRc6otDHj
2022-01-15,wahyutridaya1,@mkusumawijaya @jokowi Merdeka belajar????? Amsyong
2022-01-15,Fitrian_No11,@artianakpertama Itulah pentingnya #MerdekaBelajar 😇🙏🏻
2022-01-15,la_siro,@WidasSatyo Merdeka belajar 😌
2022-01-14,aja_kok_,@lilichenle @convomf Merdeka belajar ya
